"abkuerzung","bezeichnung","bis","fk_zaehler","richtung_in","richtung_out","von","easting","northing","easting_wgs","northing_wgs"
"VZS_LANN","Langstrasse (Unterführung Nord)","2017-07-11T00:00:00","Y2G12102807","Helvetiaplatz","Limmatplatz","2013-06-27T00:00:00","2682277.902","1248324.842","8.52818941038989","47.3806192097398"
"FZS_KATZ","Katzenbach","2015-10-01T00:00:00","U15G3104442","Affoltern","Seebach","2015-03-31T00:00:00","2681401.937","1253279.861","8.51749298309205","47.4252901219771"
"FZS_QUAN","Quaibrücke Nord (Limmatseite)","2015-11-24T00:00:00","U15G3063868","Bellevue","Bürkliplatz","2013-08-23T00:00:00","2683403.24765819","1246821.13438629","8.54280965722896","47.3669543224729"
"FZS_LETL","Lettenviadukt (Limmatstr.)","2016-09-30T00:00:00","U15G3063869","Limmat","Gleisanlagen","2016-03-30T00:00:00","2682170.909","1249123.847","8.52691946894909","47.3878183050004"
"FZS_HARD","Hardeggsteg","2014-03-20T00:00:00","U15G2092649","Kloster-Fahr-Weg","Hardturmstrasse","2013-11-28T00:00:00","2680438.925","1249929.857","8.50412837210707","47.3952808149588"
"FZS_ALTO","Altstetterstrasse Ost","2015-03-31T00:00:00","U15G3063866","Bhf. Altstetten","Lindenplatz","2013-11-28T00:00:00","2679189.926","1249435.86","8.48749851483362","47.3909894421929"
"FZS_ALTW","Altstetterstrasse West","2015-03-31T00:00:00","U15G3104445","Bhf. Altstetten","Lindenplatz","2013-11-28T00:00:00","2679173.926","1249437.86","8.48728697340989","47.391009352183"
"FZS_CASS","Cassiopeiasteg","2015-10-07T00:00:00","U15G3104443","Stadtgrenze","Bellevue","2015-04-30T00:00:00","2683020.15912589","1244136.2488995","8.53724096536627","47.3428563716664"
"FZS_CHOR","Chorherrenweg","2015-10-01T00:00:00","U15G4025180","Limmat","Meierhofplatz","2015-03-31T00:00:00","2680001.933","1250595.859","8.49845976770052","47.4013236366841"
"FZS_HARD","Hardeggsteg","2015-03-31T00:00:00","U15G4025180","Kloster-Fahr-Weg","Hardturmstrasse","2014-03-20T00:00:00","2680438.925","1249929.857","8.50412837210707","47.3952808149588"
"FZS_INGA","In Gassen","2015-09-09T00:00:00","YPH14106664","Paradeplatz","Rathaus","2014-11-07T00:00:00","2683266.896","1247228.834","8.54108054707127","47.3706381634244"
"FZS_LETD","Letten / Dynamo","2015-03-31T00:00:00","U15G3063869","Limmatplatz","Hauptbahnhof","2014-07-10T00:00:00","2682977.903","1248743.84","8.53753565665428","47.3842996193068"
"FZS_LETD","Letten / Dynamo","2016-03-29T00:00:00","U15G3063869","Limmatplatz","Hauptbahnhof","2015-10-01T00:00:00","2682977.903","1248743.84","8.53753565665428","47.3842996193068"
"FZS_OHMO","Ohmstrasse Ost","2015-10-01T00:00:00","U15G3063866","Bhf. Oerlikon","Sternen Oerlikon","2015-03-31T00:00:00","2683559.922","1251681.846","8.54579149750613","47.4106484173324"
"FZS_OHMW","Ohmstrasse West","2015-09-25T00:00:00","U15G3104445","Bhf. Oerlikon","Sternen Oerlikon","2015-03-31T00:00:00","2683572.922","1251686.846","8.54596465913789","47.410691733846"
"FZS_WEIN","Weinbergfussweg","2018-03-12T02:04:53","U15G3063872","Polyterrasse","Hauptbahnhof","2013-07-11T00:00:00","2683523.897","1248170.835","8.5446585745372","47.379077394789"
"FZS_CHOR","Chorherrenweg","2016-09-30T00:00:00","U15G4025180","Limmat","Meierhofplatz","2016-04-01T00:00:00","2680001.933","1250595.859","8.49845976770052","47.4013236366841"
"FZS_INGA","In Gassen","2014-11-07T00:00:00","U15G3063871","Paradeplatz","Rathaus","2013-07-11T00:00:00","2683266.896","1247228.834","8.54108054707127","47.3706381634244"
"FZS_LANS","Langstrasse (Unterführung Süd)","2018-03-12T02:04:53","U15G3104444","Gleisanlagen","Limmat","2015-03-10T00:00:00","2682358.94949809","1248455.991183","8.52928667981249","47.3817885566299"
"FZS_LANN","Langstrasse (Unterführung Nord)","2018-02-08T11:00:00","U15G3063870","Limmatplatz","Helvetiaplatz","2013-07-11T00:00:00","2682322.10255969","1248435.0715318","8.52879493821289","47.3816050234921"
"FZS_LIMM","Limmatquai","2018-03-12T02:04:53","U15G3063873","Rathaus","Seeufer","2013-07-11T00:00:00","2683436.897","1247198.835","8.54332547531629","47.3703468683985"
"FZS_MILI","Militärbrücke","2018-03-12T02:04:53","U15G3063864","Löwenplatz","Langstrasse","2013-07-11T00:00:00","2682688.895","1247734.837","8.53352226930528","47.3752616237451"
"FZS_ZEHN","Zehntenhausplatz Unterführung","2015-03-31T00:00:00","U15G3104442","Louis Conne Weg","In Böden","2013-11-28T00:00:00","2680576.937","1252580.867","8.50643406761615","47.4191053610158"
"FZS_ZEHN","Zehntenhausplatz Unterführung","2016-03-31T00:00:00","U15G3104442","Louis Conne Weg","In Böden","2015-10-01T00:00:00","2680576.937","1252580.867","8.50643406761615","47.4191053610158"
"FZS_QUAS","Quaibrücke Süd (Seeseite)","2016-02-15T00:00:00","U15G3063867","Bellevue","Bürkliplatz","2013-08-23T00:00:00","2683407.481","1246794.676","8.54286076667311","47.3667158362254"
"FZS_KATZ","Katzenbach","2017-10-04T00:00:00","U15G3104442","Affoltern","Seebach","2017-04-11T00:00:00","2681401.937","1253279.86099999","8.51749298309205","47.4252901219771"
"VZS_LANN","Langstrasse (Unterführung Nord)","2018-03-12T02:04:53","Y2G12102807","Helvetiaplatz","Limmatplatz","2017-09-08T00:00:00","2682277.902","1248324.842","8.52818941038989","47.3806192097398"
"FZS_OHMW","Ohmstrasse West","2018-03-12T02:04:53","U15G3063867","Sternen Oerlikon","Bhf. Oerlikon","2016-09-02T00:00:00","2683561.042","1251702.988","8.54581028774606","47.4108384106901"
"FZS_LETD","Letten / Dynamo","2017-04-10T00:00:00","U15G3063869","Limmatplatz","Hauptbahnhof","2016-10-01T00:00:00","2682977.903","1248743.84","8.53753565665428","47.3842996193068"
"FZS_HARD","Hardeggsteg","2017-04-10T00:00:00","U15G4025180","Kloster-Fahr-Weg","Hardturmstrasse","2016-10-01T00:00:00","2680438.925","1249929.85699999","8.50412837210707","47.3952808149587"
"FZS_ZEHN","Zehntenhausplatz Unterführung","2017-04-10T00:00:00","U15G3104442","Louis Conne Weg","In Böden","2016-10-01T00:00:00","2680576.937","1252580.867","8.50643406761615","47.4191053610158"
"FZS_MYTH","Mythenquai Unterführung","2017-04-10T00:00:00","U15G3104443","Seeufer","Bhf. Wollishofen","2016-10-01T00:00:00","2682812.885","1245489.836","8.53474862653653","47.3550558530493"
"FZS_QUAS","Quaibrücke Süd (Seeseite)","2017-03-13T00:00:00","YCH16039437","Bürkliplatz","Bellevue","2016-10-18T00:00:00","2683407.481","1246794.676","8.54286076667311","47.3667158362254"
"VZS_LANS","Langstrasse (Unterführung Süd)","2017-10-02T00:00:00","Y2G13013264","Helvetiaplatz","Limmatplatz","2017-09-08T00:00:00","2682359.8891753","1248448.232507","8.52929769418776","47.3817186625451"
"FZS_OHMW","Ohmstrasse West","2016-04-20T00:00:00","U15G3063865","Sternen Oerlikon","Bhf. Oerlikon","2016-04-02T00:00:00","2683559.922","1251681.846","8.54579149750613","47.4106484173324"
"FZS_OHMO","Ohmstrasse Ost","2018-03-12T02:04:53","U15G3104447","Bhf. Oerlikon","Sternen Oerlikon","2016-04-01T00:00:00","2683572.922","1251686.846","8.54596465913789","47.410691733846"
"FZS_KATZ","Katzenbach","2016-09-30T00:00:00","U15G3104442","Affoltern","Seebach","2016-04-01T00:00:00","2681401.937","1253279.861","8.51749298309205","47.4252901219771"
"FZS_CASS","Cassiopeiasteg","2016-09-30T00:00:00","U15G3104443","Stadtgrenze","Bellevue","2016-04-05T00:00:00","2683020.15912589","1244136.2488995","8.53724096536627","47.3428563716664"
"VZS_TOED","Tödistrasse","2018-03-12T02:04:53","Y2G13124877","Seeufer","Hauptbahnhof","2017-05-22T00:00:00","2682880.88999999","1246548.83499999","8.53584461087923","47.3645713251775"
"FZS_LETD","Letten / Dynamo","2018-03-12T02:04:53","U15G3063869","Limmatplatz","Hauptbahnhof","2017-10-05T00:00:00","2682977.903","1248743.84","8.53753565665428","47.3842996193068"
"FZS_HARD","Hardeggsteg","2018-03-12T02:04:53","U15G4025180","Kloster-Fahr-Weg","Hardturmstrasse","2017-10-05T00:00:00","2680438.925","1249929.85699999","8.50412837210707","47.3952808149587"
"FZS_ZEHN","Zehntenhausplatz Unterführung","2018-03-12T02:04:53","U15G3104442","Louis Conne Weg","In Böden","2017-10-05T00:00:00","2680576.937","1252580.867","8.50643406761615","47.4191053610158"
"FZS_MYTH","Mythenquai Unterführung","2018-03-12T02:04:53","U15G3104443","Seeufer","Bhf. Wollishofen","2017-10-05T00:00:00","2682812.885","1245489.836","8.53474862653653","47.3550558530493"
"VZS_LANS","Langstrasse (Unterführung Süd)","2017-09-08T00:00:00","Y2H16039396","Helvetiaplatz","Limmatplatz","2016-04-27T00:00:00","2682359.8891753","1248448.232507","8.52929769418776","47.3817186625451"
"FZS_KLOE","Kloster-Fahr-Weg (Europabrücke)","2018-03-12T02:04:53","U15G6121229","Werdinsel","Innenstadt","2017-01-13T00:00:00","2680048.93","1250303.859","8.49903002173444","47.3986918641162"
"FZS_CASS","Cassiopeiasteg","2018-03-12T02:04:53","U15G3104446","Stadtgrenze","Bellevue","2017-10-17T00:00:00","2683020.15912589","1244136.2488995","8.53724096536627","47.3428563716664"
"FZS_ARBO","Arboretum","2018-03-12T02:04:53","U15G3063865","Stadtgrenze","Innenstadt","2016-07-21T11:00:00","2682972.88999999","1246328.83499999","8.53702163043839","47.3625812001938"
"VZS_LANN","Langstrasse (Unterführung Nord)","2017-09-08T00:00:00","Y2G13013264","Helvetiaplatz","Limmatplatz","2017-07-25T00:00:00","2682277.902","1248324.842","8.52818941038989","47.3806192097398"
"FZS_KATZ","Katzenbach","2018-03-12T02:04:53","YPH15108550","Affoltern","Seebach","2017-11-29T00:00:00","2681401.937","1253279.86099999","8.51749298309205","47.4252901219771"
"FZS_QUAN","Quaibrücke Nord (Limmatseite)","2017-03-13T00:00:00","YCH16121210","Bellevue","Bürkliplatz","2017-01-13T00:00:00","2683403.24765819","1246821.13438629","8.54280965722896","47.3669543224729"
"VZS_HARN","Hardbrücke Nord (Seite Altstetten)","2018-03-12T02:04:53","Y2H16069942","Escher-Wyss-Platz","Hardplatz","2016-07-06T15:00:00","2681319.38827009","1248665.20921759","8.51555975721955","47.3837992637782"
"VZS_HARS","Hardbrücke Süd (Seite HB)","2018-03-12T02:04:53","Y2H16069943","Escher-Wyss-Platz","Hardplatz","2016-07-06T15:00:00","2681338.9674759","1248646.6883472","8.51581565071548","47.3836302815546"
"FZS_LETL","Lettenviadukt (Limmatstr.)","2017-10-04T00:00:00","U15G3063869","Limmat","Gleisanlagen","2017-04-10T00:00:00","2682170.90899999","1249123.847","8.52691946894896","47.3878183050004"
"FZS_CASS","Cassiopeiasteg","2017-10-04T00:00:00","U15G3104443","Stadtgrenze","Bellevue","2017-04-11T00:00:00","2683020.15912589","1244136.2488995","8.53724096536627","47.3428563716664"
"FZS_CHOR","Chorherrenweg","2017-10-04T00:00:00","U15G4025180","Limmat","Meierhofplatz","2017-04-11T00:00:00","2680001.933","1250595.859","8.49845976770052","47.4013236366841"
"VZS_LANS","Langstrasse (Unterführung Süd)","2018-03-12T02:04:53","Y2H16039396","Helvetiaplatz","Limmatplatz","2017-10-03T00:00:00","2682359.8891753","1248448.232507","8.52929769418776","47.3817186625451"
